Numero_NF;Data_Emissao;CNPJ_Cliente;Razao_Cliente;UF_Destino;Valor_Total_Nota;Natureza_Operacao
NF-00101;2026-08-02;04.912.871/0001-32;PAINEIS BELVEDERE;SC;12450.0;Venda de Produção Própria (Hiléia)
NF-00102;2026-08-03;24119851000116;LAVANDERIA PANDA LTDA;SP;3200.5;Venda de Produção Própria (Hiléia)
NF-00103;2026-08-04;14.210.667/0001-23;COSME RODRIGUES DA SILVA;BA;890.0;Venda de Produção Própria (Hiléia)
NF-00104;2026-08-05;00.000.000/0001-91;BANCO DO BRASIL SA;DF;45000.0;Venda de Produção Própria (Hiléia)
NF-00105;2026-08-06;33.000.167/0001-01;PETROLEO BRASILEIRO S A PETROBRAS;RJ;98500.0;Venda de Produção Própria (Hiléia)
NF-00106;2026-08-07;07.526.557/0001-00;AMBEV S.A.;SP;54300.0;Venda de Produção Própria (Hiléia)
NF-00107;2026-08-08;04.912.871/0001-32;PAINEIS BELVEDERE;SC;8450.0;Venda de Produção Própria (Hiléia)
NF-00108;2026-08-09;24119851000116;LAVANDERIA PANDA LTDA;SP;1500.0;Venda de Produção Própria (Hiléia)
NF-00109;2026-08-10;4912871000132;PAINEIS BELVEDERE (SEM ZERO);SC;7200.0;Venda de Produção Própria (Hiléia)
NF-00110;2026-08-11;11.111.111/1111-11;EMPRESA TESTE INVÁLIDA;PA;1200.0;Venda de Produção Própria (Hiléia)
